Country,Region,happinessVery,happinessQuite,artInactive,artActive,environmentInactive,environmentActive,unionInactive,unionActive,politicalInactive,politicalActive,professionalInactive,professionalActive,religiousInactive,religiousActive,sportInactive,sportActive,otherInactive,otherActive
Slovenia,Europe,13.4,60.4,4,4.5,3.6,0.8,23.8,4.6,3.4,1.3,6.6,4.9,22.2,7.2,8.9,10.2,6.6,6.3
South Africa,Africa,35.3,37.1,16.2,14.9,11.6,7.2,14.6,7.5,33.8,11.7,8.2,7,29.1,58.4,19.6,19.5,9.7,6.4
Spain,Europe,18.7,67.8,6.6,7.7,6.1,2.6,8.3,3.2,6.3,1.8,6.7,4.3,26.1,17.1,7.3,12.9,6,4.2
Sweden,Europe,39.2,54.7,9.6,12.5,10.5,2.2,49.5,12.8,10.1,4.7,10.8,5.2,20.9,7.7,17.7,26.5,16.1,18.4
Switzerland,Europe,39.8,54.5,12.1,17.6,14.6,4.8,9,5.5,8,5.1,11.4,10.5,28.8,18.3,12.6,35.6,3.3,5.8
Turkey,Asia,51,37.3,0.7,2.4,0.6,1.3,2.2,2.6,4,5.7,3.9,4.7,2.6,1.1,2.3,3.4,1.3,2.1
Ukraine,Europe,4.9,40.9,3.3,1.7,0.9,0.6,30.2,3.1,0.9,0.6,1.8,0.9,7,2,2.8,1.7,0.5,0.2
Macedonia,Europe,13.4,48.9,9.7,4.6,12.1,2.3,15.4,4.9,15.6,5.7,9.6,4.3,13.3,4.4,14.5,6,10.4,2.8
United Kingdom,Europe,32.4,58.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
United States,North America,46.3,47.5,15,24,16.2,9.4,12.4,9.7,28.7,20.6,12.2,22.1,27.5,49.7,17.3,25.5,9.1,21.7
Uruguay,South America,20.6,58.8,6.2,11,8.6,3.9,5.9,4.6,9.6,5.8,3.9,2.3,20.7,13.9,9.4,7.7,4,2.9
Venezuela,South America,54.4,38.2,12.2,9.9,9.2,5.5,9.2,5.2,9.9,3.8,7.8,8.3,23.8,20.9,12.4,16.8,8.2,6.5
Serbia,Europe,13.9,56,4.8,1.9,1.8,0.5,22.2,1.9,8.4,3,8.4,2.8,8.8,2.1,7.9,5.8,5.1,1.3
Montenegro,Europe,13.8,55.4,11.7,2.5,3.8,0.4,30.4,2.5,17.9,5,9.6,3.8,9.2,3.3,9.6,4.6,6.2,0.8
Bosnia,Europe,15,64.1,10.2,4.5,9.8,2.5,25.4,7.5,28.7,6,8.6,4.6,25.8,16.1,14.6,11.6,9.5,3.5
